"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1S2140003300" "R2207936" "6601" "029.13" 1354790 0 12448140 13802930 898740 "2018-038 PARTITION PLAT Lot:B  " "No Address Found" 44.85 0.0 15438.54
1 "1S2140003400" "R2207685" "5401" "029.13" 0 0 22840050 22840050 57860 "REEDS CROSSING Lot:Z  " "No Address Found" 55.93 0.0 993.89
2 "1S2140003500" "R2207686" "9200" "029.13" 15768360 0 0 15768360 0 "REEDS CROSSING Lot:AA  " "No Address Found" 40.0 0.0 0.0
3 "1S214CA00100" "R2206080" "1010" "029.13" 228250 381020 0 609270 379580 "BUTTERNUT CREEK Lot:38  " "5047 SE 82ND AVE. BEAVERTON OR, 97078" 0.14 742.51 6520.44
14 "1S214CA01200" "R2206091" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:49  " "7987 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
15 "1S214CA01300" "R2206092" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:50  " "7975 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
16 "1S214CA01400" "R2206093" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:51  " "7951 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.13 742.51 1963.61
17 "1S214CA01500" "R2206094" "1000" "029.13" 174740 0 0 174740 108860 "BUTTERNUT CREEK Lot:52  " "5221 SE 78TH AVE. BEAVERTON OR, 97078" 0.14 742.51 1869.98
18 "1S214CA01600" "R2206095" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:53  " "5247 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
19 "1S214CA01700" "R2206096" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:54  " "5267 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
20 "1S214CA01800" "R2206097" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:55  " "5283 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
21 "1S214CA01900" "R2206098" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:56  " "5303 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
22 "1S214CA02000" "R2206099" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:57  " "5321 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
23 "1S214CA02100" "R2206100" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:58  " "5341 SE 78TH AVE. BEAVERTON OR, 97078" 0.11 742.51 2062.22
24 "1S214CA02200" "R2206101" "1000" "029.13" 183060 0 0 183060 114050 "BUTTERNUT CREEK Lot:59  " "7904 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.07 371.27 1959.17
25 "1S214CA02300" "R2206102" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:60  " "7912 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
26 "1S214CA02400" "R2206103" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:61  " "7920 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
27 "1S214CA02500" "R2206104" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:62  " "7926 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
28 "1S214CA02600" "R2206105" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:63  " "7934 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
29 "1S214CA02700" "R2206106" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:64  " "7942 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
30 "1S214CA02800" "R2206107" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:65  " "7950 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
31 "1S214CA02900" "R2206108" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:66  " "7958 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
32 "1S214CA03000" "R2206109" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:67  " "7964 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
33 "1S214CA03100" "R2206110" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:68  " "7980 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
34 "1S214CA03200" "R2206111" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:69  " "7988 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
35 "1S214CA03300" "R2206112" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:70  " "7994 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
36 "1S214CA03400" "R2206113" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:71  " "8002 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.05 371.27 1053.36
37 "1S214CA03500" "R2206114" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:72  " "8010 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
38 "1S214CA03600" "R2206115" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:73  " "8016 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
39 "1S214CA03700" "R2206116" "1000" "029.13" 98430 0 0 98430 61320 "BUTTERNUT CREEK Lot:74  " "8024 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.04 371.27 1053.36
40 "1S214CA03800" "R2206117" "1000" "029.13" 113970 0 0 113970 71000 "BUTTERNUT CREEK Lot:75  " "8032 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 1219.64
41 "1S214CA03900" "R2206118" "1010" "029.13" 149290 64980 0 214270 133490 "BUTTERNUT CREEK Lot:76  " "8040 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.07 371.27 2293.08
42 "1S214CA04000" "R2206119" "1010" "029.13" 128930 68110 0 197040 122760 "BUTTERNUT CREEK Lot:77  " "8048 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.05 371.27 2108.78
43 "1S214CA04100" "R2206120" "1010" "029.13" 128930 68110 0 197040 122760 "BUTTERNUT CREEK Lot:78  " "8054 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.05 371.27 2108.78
44 "1S214CA04200" "R2206121" "1010" "029.13" 149290 64980 0 214270 133490 "BUTTERNUT CREEK Lot:79  " "8062 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.07 371.27 2293.08
45 "1S214CA04300" "R2206122" "1010" "029.13" 149290 129950 0 279240 173970 "BUTTERNUT CREEK Lot:80  " "8070 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.08 371.27 2988.44
46 "1S214CA04400" "R2206123" "1010" "029.13" 149290 136210 0 285500 177870 "BUTTERNUT CREEK Lot:81  " "8078 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 3055.46
47 "1S214CA04500" "R2206124" "1010" "029.13" 149290 136210 0 285500 177870 "BUTTERNUT CREEK Lot:82  " "8084 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.06 371.27 3055.46
48 "1S214CA04600" "R2206125" "1010" "029.13" 149290 128400 0 277690 173000 "BUTTERNUT CREEK Lot:83  " "8092 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.1 371.27 2971.78
49 "1S214CA04700" "R2206126" "1010" "029.13" 157150 21400 0 178550 111240 "BUTTERNUT CREEK Lot:84  " "8091 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.08 371.27 1910.89
50 "1S214CA04800" "R2206127" "1010" "029.13" 135720 22700 0 158420 98700 "BUTTERNUT CREEK Lot:85  " "8079 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1695.47
51 "1S214CA04900" "R2206128" "1010" "029.13" 135720 22700 0 158420 98700 "BUTTERNUT CREEK Lot:86  " "8071 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1695.47
52 "1S214CA05000" "R2206129" "1010" "029.13" 157150 21660 0 178810 111400 "BUTTERNUT CREEK Lot:87  " "8059 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1913.64
53 "1S214CA05100" "R2206130" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:88  " "8047 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
54 "1S214CA05200" "R2206131" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:89  " "8037 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
55 "1S214CA05300" "R2206132" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:90  " "8029 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
56 "1S214CA05400" "R2206133" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:91  " "8019 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
57 "1S214CA05500" "R2206134" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:92  " "8011 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
58 "1S214CA05600" "R2206135" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:93  " "8003 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
59 "1S214CA05700" "R2206136" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:94  " "7995 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
60 "1S214CA05800" "R2206137" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:95  " "7987 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
61 "1S214CA05900" "R2206138" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:96  " "7979 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
62 "1S214CA06000" "R2206139" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:97  " "7969 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
63 "1S214CA06100" "R2206140" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:98  " "7961 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
64 "1S214CA06200" "R2206141" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:99  " "7957 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
65 "1S214CA06300" "R2206142" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:100  " "7951 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
66 "1S214CA06400" "R2206143" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:101  " "7943 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
67 "1S214CA06500" "R2206144" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:102  " "7937 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.04 371.27 1108.83
68 "1S214CA06600" "R2206145" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:103  " "7931 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
69 "1S214CA06700" "R2206146" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:104  " "7923 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.06 371.27 1283.89
70 "1S214CA06800" "R2206147" "1000" "029.13" 119970 0 0 119970 74740 "BUTTERNUT CREEK Lot:105  " "7915 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.08 371.27 1283.89
71 "1S214CA06900" "R2206148" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:106  " "7909 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
72 "1S214CA07000" "R2206149" "1000" "029.13" 103610 0 0 103610 64550 "BUTTERNUT CREEK Lot:107  " "7905 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.05 371.27 1108.83
73 "1S214CA07100" "R2206150" "1000" "029.13" 125420 0 0 125420 78140 "BUTTERNUT CREEK Lot:108  " "7901 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.12 371.27 1342.31
74 "1S214CA07200" "R2206151" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:109  " "7900 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.2 371.27 2062.22
75 "1S214CA07300" "R2206152" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:110  " "7904 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.15 371.27 1968.42
76 "1S214CA07400" "R2206153" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:111  " "7908 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.12 371.27 1968.42
77 "1S214CA07500" "R2206154" "1000" "029.13" 175180 0 0 175180 109140 "BUTTERNUT CREEK Lot:112  " "7916 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.11 371.27 1874.81
78 "1S214CA07600" "R2206155" "1000" "029.13" 175180 0 0 175180 109140 "BUTTERNUT CREEK Lot:113  " "7932 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.11 371.27 1874.81
79 "1S214CA07700" "R2206156" "1000" "029.13" 175180 0 0 175180 109140 "BUTTERNUT CREEK Lot:114  " "7944 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.11 371.27 1874.81
80 "1S214CA07800" "R2206157" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:115  " "7958 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.15 371.27 1968.42
81 "1S214CA07900" "R2206158" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:116  " "7976 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.12 371.27 1968.42
82 "1S214CA08000" "R2206159" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:117  " "7992 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.13 371.27 1968.42
83 "1S214CA08100" "R2206160" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:118  " "8010 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.14 371.27 1968.42
84 "1S214CA08200" "R2206161" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK Lot:119  " "8030 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.15 371.27 1968.42
85 "1S214CA08300" "R2206162" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK Lot:120  " "8062 SE ENGELMANN ST. BEAVERTON OR, 97078" 0.19 371.27 2062.22
86 "1S214CA08400" "R2206163" "1000" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:C  " "No Address Found" 0.12 0.0 0.0
87 "1S214CA08500" "R2206164" "9400" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:D  " "No Address Found" 9.0 0.0 0.0
88 "1S214CA08600" "R2206165" "9400" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:E  " "No Address Found" 3.45 0.0 0.0
89 "1S214CA08700" "R2206166" "0000" "029.13" 18700 0 0 18700 11860 "BUTTERNUT CREEK Lot:F  " "No Address Found" 0.22 195.09 203.75
90 "1S214CA08800" "R2206167" "0000" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:G  " "No Address Found" 0.95 0.0 0.0
91 "1S214CA08900" "R2206168" "0000" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:L  " "No Address Found" 0.05 0.0 0.0
92 "1S214CA09000" "R2206169" "0000" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:M  " "No Address Found" 0.04 0.0 0.0
93 "1S214CA09100" "R2206170" "0000" "029.13" 0 0 0 0 0 "BUTTERNUT CREEK Lot:N  " "No Address Found" 0.05 0.0 0.0
94 "1S214CA09200" "R2209568" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK NO.2 Lot:131  " "5328 SE 81ST AVE. BEAVERTON OR, 97078" 0.12 0.0 1968.42
95 "1S214CA09300" "R2209569" "1000" "029.13" 192700 0 0 192700 120050 "BUTTERNUT CREEK NO.2 Lot:132  " "8097 SE DELINE ST. BEAVERTON OR, 97078" 0.19 0.0 2062.22
96 "1S214CA09400" "R2209570" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK NO.2 Lot:133  " "8079 SE DELINE ST. BEAVERTON OR, 97078" 0.14 0.0 1968.42
97 "1S214CA09500" "R2209571" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK NO.2 Lot:134  " "8061 SE DELINE ST. BEAVERTON OR, 97078" 0.13 0.0 1968.42
98 "1S214CA09600" "R2209572" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK NO.2 Lot:135  " "8043 SE DELINE ST. BEAVERTON OR, 97078" 0.12 0.0 1968.42
99 "1S214CA09700" "R2209573" "1000" "029.13" 183940 0 0 183940 114590 "BUTTERNUT CREEK NO.2 Lot:136  " "8025 SE DELINE ST. BEAVERTON OR, 97078" 0.16 0.0 1968.42
