"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N235AD11700" "R2068471" "1010" "001.17" 197550 197600 0 395150 243530 "AMBER VIEW NO.2 Lot:112  " "1425 NE 85TH AVE. HILLSBORO OR, 97006" 0.13 4004.53 4183.36
1 "1N235AD11800" "R2068472" "1010" "001.17" 197550 187100 0 384650 236970 "AMBER VIEW NO.2 Lot:113  " "1447 NE 85TH AVE. HILLSBORO OR, 97006" 0.11 3896.63 4070.66
2 "1N235AD11900" "R2068485" "1010" "001.17" 197550 202600 0 400150 253260 "AMBER VIEW NO.2 Lot:114  " "8511 NE HODES ST. HILLSBORO OR, 97006" 0.15 4164.57 4350.52
3 "1N235AD12000" "R2068486" "1010" "001.17" 197550 191840 0 389390 238650 "AMBER VIEW NO.2 Lot:115  " "8537 NE HODES ST. HILLSBORO OR, 97006" 0.12 3924.24 4099.52
4 "1N235AD12100" "R2068487" "1010" "001.17" 197550 188060 0 385610 244000 "AMBER VIEW NO.2 Lot:116  " "8557 NE HODES ST. HILLSBORO OR, 97006" 0.12 4012.32 4191.43
5 "1N235AD12200" "R2068488" "1010" "001.17" 197550 187050 0 384600 242960 "AMBER VIEW NO.2 Lot:117  " "8573 NE HODES ST. HILLSBORO OR, 97006" 0.12 3995.19 4173.57
6 "1N235AD12300" "R2068489" "1010" "001.17" 197550 202710 0 400260 254450 "AMBER VIEW NO.2 Lot:118  " "8599 NE HODES ST. HILLSBORO OR, 97006" 0.12 4184.05 4370.93
7 "1N235AD12400" "R2068490" "1010" "001.17" 197550 190220 0 387770 245090 "AMBER VIEW NO.2 Lot:119  " "8625 NE HODES ST. HILLSBORO OR, 97006" 0.12 4030.22 4210.17
8 "1N235AD12500" "R2068491" "1010" "001.17" 197550 188060 0 385610 242670 "AMBER VIEW NO.2 Lot:120  " "8641 NE HODES ST. HILLSBORO OR, 97006" 0.12 3990.46 4168.58
9 "1N235AD12600" "R2068492" "1010" "001.17" 197550 191860 0 389410 242960 "AMBER VIEW NO.2 Lot:121  " "8653 NE HODES ST. HILLSBORO OR, 97006" 0.12 3995.19 4173.57
10 "1N235AD12700" "R2068493" "1010" "001.17" 197550 188060 0 385610 216880 "AMBER VIEW NO.2 Lot:  " "8665 NE HODES ST. HILLSBORO OR, 97006" 0.12 3566.35 3725.56
11 "1N235AD12800" "R2068494" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:B  " "   . HILLSBORO OR, 97006" 0.12 0.0 0.0
12 "1N235AD12900" "R2068495" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:C  " "   . HILLSBORO OR, 97006" 0.13 0.0 0.0
13 "1N235AD13000" "R2068497" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:D  " "   . HILLSBORO OR, 97006" 0.13 0.0 0.0
14 "1N235AD13100" "R2068498" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:E  " "   . HILLSBORO OR, 97006" 0.17 0.0 0.0
15 "1N235AD13200" "R2068499" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:F  " "   . HILLSBORO OR, 97006" 0.1 0.0 0.0
16 "1N235AD80000" "R2118342" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO Lot:  " "   . HILLSBORO OR, 97006" 0.69 0.0 0.0
17 "1N235AD80001" "R2121798" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO Lot:  " "   . HILLSBORO OR, 97006" 1.54 0.0 0.0
61 "1N235AD80511" "R2121811" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:51 11 " "1294 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
62 "1N235AD80521" "R2121812" "1020" "001.17" 0 244150 0 244150 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:52  " "1297 NE 86TH WAY. HILLSBORO OR, 97006" "" 2197.72 2295.85
63 "1N235AD80531" "R2121813" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:53  " "1275 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
64 "1N235AD80541" "R2121814" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:54  " "1253 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
65 "1N235AD80551" "R2121815" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:55  " "1231 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
66 "1N235AD80561" "R2121816" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:56  " "1209 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
67 "1N235AD80571" "R2122084" "1020" "001.17" 0 237100 0 237100 124570 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:57  " "8662 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2048.5 2139.86
68 "1N235AD80581" "R2122085" "1020" "001.17" 0 237470 0 237470 124880 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:58  " "8654 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2053.58 2145.21
69 "1N235AD80591" "R2122086" "1020" "001.17" 0 237470 0 237470 124880 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:59  " "8646 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2053.58 2145.21
70 "1N235AD80601" "R2122087" "1020" "001.17" 0 251200 0 251200 133340 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:60  " "8638 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2192.63 2290.5
71 "1N235AD80611" "R2122088" "1020" "001.17" 0 229660 0 229660 120060 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:61  " "8630 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 1974.3 2062.41
72 "1N235AD80621" "R2122089" "1020" "001.17" 0 247410 0 247410 131030 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:62  " "1195 NE 86TH WAY. HILLSBORO OR, 97006" "" 2154.68 2250.82
73 "1N235AD80631" "R2122090" "1020" "001.17" 0 242570 0 242570 121220 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:63  " "1187 NE 86TH WAY. HILLSBORO OR, 97006" "" 1993.3 2082.33
74 "1N235AD80641" "R2122091" "1020" "001.17" 0 247240 0 247240 130850 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:64  " "1179 NE 86TH WAY. HILLSBORO OR, 97006" "" 2151.66 2247.74
75 "1N235AD80651" "R2122092" "1020" "001.17" 0 247410 0 247410 131030 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:65  " "1171 NE 86TH WAY. HILLSBORO OR, 97006" "" 2154.68 2250.82
76 "1N235AD80661" "R2122093" "1020" "001.17" 0 247410 0 247410 131030 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:66  " "1163 NE 86TH WAY. HILLSBORO OR, 97006" "" 2154.68 2250.82
77 "1N235AD80671" "R2122094" "1020" "001.17" 0 241100 0 241100 127020 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:67  " "8625 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 2088.79 2181.94
78 "1N235AD80681" "R2122095" "1020" "001.17" 0 249710 0 249710 132380 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:68  " "8641 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 2176.88 2274.04
79 "1N235AD80691" "R2122096" "1020" "001.17" 0 249710 0 249710 111730 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:69  " "8667 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 1837.3 1919.32
80 "1N235AD80701" "R2122097" "1020" "001.17" 0 249710 0 249710 132380 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:70  " "8673 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 2176.88 2274.04
81 "1N235AD80711" "R2122098" "1020" "001.17" 0 249710 0 249710 132380 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:71  " "8689 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 2176.88 2274.04
82 "1N235AD80721" "R2122099" "1020" "001.17" 0 249710 0 249710 132380 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.6: ANNEXATION OF STAGE 7 Lot:72  " "8695 NE TRAFALGAR LN. HILLSBORO OR, 97006" "" 2176.88 2274.04
83 "1N235AD90000" "R2114853" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO Lot:  " "   . HILLSBORO OR, 97006" 1.48 0.0 0.0
84 "1N235AD90001" "R2116615" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:  " "   . HILLSBORO OR, 97006" 0.29 0.0 0.0
85 "1N235AD90031" "R2116616" "1020" "001.17" 0 236220 0 236220 132310 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:31  " "1095 NE PERL WAY. HILLSBORO OR, 97006" "" 2175.69 2272.81
86 "1N235AD90032" "R2116624" "1020" "001.17" 0 236220 0 236220 131530 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:32  " "1087 NE PERL WAY. HILLSBORO OR, 97006" "" 2162.84 2259.43
87 "1N235AD90033" "R2116625" "1020" "001.17" 0 236220 0 236220 138430 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:33  " "1079 NE PERL WAY. HILLSBORO OR, 97006" "" 2276.31 2377.96
88 "1N235AD90034" "R2116626" "1020" "001.17" 0 236220 0 236220 132310 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:34  " "1071 NE PERL WAY. HILLSBORO OR, 97006" "" 2175.69 2272.81
89 "1N235AD90035" "R2116627" "1020" "001.17" 0 236300 0 236300 132390 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:35  " "1094 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.05 2274.21
90 "1N235AD90036" "R2116628" "1020" "001.17" 0 236300 0 236300 132390 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:36  " "1086 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.05 2274.21
91 "1N235AD90037" "R2116629" "1020" "001.17" 0 236300 0 236300 132390 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:37  " "1078 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.05 2274.21
92 "1N235AD90038" "R2116630" "1020" "001.17" 0 236300 0 236300 131590 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:38  " "1070 NE PERL WAY. HILLSBORO OR, 97006" "" 2163.85 2260.45
